description,category_id,category_name,skill_name,level,source,group_id
"Mình học Android (Kotlin) được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Android (Kotlin),Trung bình,legacy_cleaned,skill:android (kotlin)
"Mình là học sinh mới, muốn được chỉ Android (Kotlin) từ những khái niệm đầu tiên.",1,Lập trình,Android (Kotlin),Mới bắt đầu,legacy_cleaned,skill:android (kotlin)
"Mình mất gốc hoàn toàn, muốn tìm người kèm Android (Kotlin) từ con số 0.",1,Lập trình,Android (Kotlin),Mới bắt đầu,legacy_cleaned,skill:android (kotlin)
"Tìm người hỗ trợ Android (Kotlin) theo buổi, không cần cam kết dài hạn.",1,Lập trình,Android (Kotlin),Không xác định,legacy_cleaned,skill:android (kotlin)
Tìm người luyện tập cùng để cải thiện Android (Kotlin) ở mức khá.,1,Lập trình,Android (Kotlin),Trung bình,legacy_cleaned,skill:android (kotlin)
Đang cần người có kinh nghiệm lâu năm về Android (Kotlin) để review công việc thực tế.,1,Lập trình,Android (Kotlin),Nâng cao,legacy_cleaned,skill:android (kotlin)
"Có ai rảnh dạy Angular không, mình cần gấp trong tuần này.",1,Lập trình,Angular,Không xác định,legacy_cleaned,skill:angular
Cần một buổi học Angular dành cho người mới bắt đầu.,1,Lập trình,Angular,Mới bắt đầu,legacy_cleaned,skill:angular
Cần người review lại các lỗi cơ bản khi làm Angular.,1,Lập trình,Angular,Trung bình,legacy_cleaned,skill:angular
Cần người ôn lại và củng cố kiến thức Angular ở mức trung bình.,1,Lập trình,Angular,Trung bình,legacy_cleaned,skill:angular
Muốn được đào tạo chuyên sâu Angular để làm freelance/đi làm chính thức.,1,Lập trình,Angular,Nâng cao,legacy_cleaned,skill:angular
"Mình đã biết chút ít về Angular, muốn học thêm để vững hơn.",1,Lập trình,Angular,Trung bình,legacy_cleaned,skill:angular
"Tìm gia sư dạy Angular cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình,Angular,Mới bắt đầu,legacy_cleaned,skill:angular
"Tìm người hỗ trợ Angular theo buổi, không cần cam kết dài hạn.",1,Lập trình,Angular,Không xác định,legacy_cleaned,skill:angular
Bạn nào rành AWS chỉ giúp mình vài buổi nhập môn với.,1,Lập trình,AWS,Mới bắt đầu,legacy_cleaned,skill:aws
Cần người giỏi AWS hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,AWS,Nâng cao,legacy_cleaned,skill:aws
Cần đặt lịch học AWS vào cuối tuần.,1,Lập trình,AWS,Không xác định,legacy_cleaned,skill:aws
"Mình mới tìm hiểu AWS, cần người kèm cặp cơ bản.",1,Lập trình,AWS,Mới bắt đầu,legacy_cleaned,skill:aws
"Tìm gia sư dạy AWS cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình,AWS,Mới bắt đầu,legacy_cleaned,skill:aws
"Tìm người có kinh nghiệm về AWS để trao đổi, học hỏi.",1,Lập trình,AWS,Không xác định,legacy_cleaned,skill:aws
Tìm người có thể thử thách và nâng trình AWS của mình lên tầm cao mới.,1,Lập trình,AWS,Nâng cao,legacy_cleaned,skill:aws
"Tìm người hỗ trợ AWS theo buổi, không cần cam kết dài hạn.",1,Lập trình,AWS,Không xác định,legacy_cleaned,skill:aws
Tìm người luyện tập cùng để cải thiện AWS ở mức khá.,1,Lập trình,AWS,Trung bình,legacy_cleaned,skill:aws
"Đã tự học AWS một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,AWS,Trung bình,legacy_cleaned,skill:aws
"Ai có thể giúp mình về Azure không, cảm ơn nhiều.",1,Lập trình,Azure,Không xác định,legacy_cleaned,skill:azure
Cần người giỏi Azure hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,Azure,Nâng cao,legacy_cleaned,skill:azure
Cần tư vấn chuyên sâu về Azure cho một dự án cụ thể đang làm.,1,Lập trình,Azure,Nâng cao,legacy_cleaned,skill:azure
"Muốn học thử Azure một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,Azure,Mới bắt đầu,legacy_cleaned,skill:azure
Muốn được đào tạo chuyên sâu Azure để làm freelance/đi làm chính thức.,1,Lập trình,Azure,Nâng cao,legacy_cleaned,skill:azure
"Mình học Azure được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Azure,Trung bình,legacy_cleaned,skill:azure
"Tìm gia sư dạy Azure cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình,Azure,Mới bắt đầu,legacy_cleaned,skill:azure
"Tìm người có kinh nghiệm về Azure để trao đổi, học hỏi.",1,Lập trình,Azure,Không xác định,legacy_cleaned,skill:azure
Tìm người có thể thử thách và nâng trình Azure của mình lên tầm cao mới.,1,Lập trình,Azure,Nâng cao,legacy_cleaned,skill:azure
"Tìm người dạy Azure cho người tay ngang, chưa từng học qua.",1,Lập trình,Azure,Mới bắt đầu,legacy_cleaned,skill:azure
Cần tư vấn chuyên sâu về Big Data / Spark cho một dự án cụ thể đang làm.,1,Lập trình,Big Data / Spark,Nâng cao,legacy_cleaned,skill:big data / spark
Muốn tìm người dạy Big Data / Spark 1 kèm 1 online hoặc offline đều được.,1,Lập trình,Big Data / Spark,Không xác định,legacy_cleaned,skill:big data / spark
"Mình biết Big Data / Spark ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Big Data / Spark,Trung bình,legacy_cleaned,skill:big data / spark
"Mình là học sinh mới, muốn được chỉ Big Data / Spark từ những khái niệm đầu tiên.",1,Lập trình,Big Data / Spark,Mới bắt đầu,legacy_cleaned,skill:big data / spark
"Mình muốn học các kỹ thuật nâng cao trong Big Data / Spark, không cần dạy lại cơ bản.",1,Lập trình,Big Data / Spark,Nâng cao,legacy_cleaned,skill:big data / spark
"Mình mới tìm hiểu Big Data / Spark, cần người kèm cặp cơ bản.",1,Lập trình,Big Data / Spark,Mới bắt đầu,legacy_cleaned,skill:big data / spark
"Mình đã có nền tảng Big Data / Spark khá tốt, muốn học chuyên sâu hơn.",1,Lập trình,Big Data / Spark,Nâng cao,legacy_cleaned,skill:big data / spark
Tìm người có thể thử thách và nâng trình Big Data / Spark của mình lên tầm cao mới.,1,Lập trình,Big Data / Spark,Nâng cao,legacy_cleaned,skill:big data / spark
"Có ai rảnh dạy Blazor không, mình cần gấp trong tuần này.",1,Lập trình,Blazor,Không xác định,legacy_cleaned,skill:blazor
Cần người review lại các lỗi cơ bản khi làm Blazor.,1,Lập trình,Blazor,Trung bình,legacy_cleaned,skill:blazor
"Muốn học thử Blazor một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,Blazor,Mới bắt đầu,legacy_cleaned,skill:blazor
"Muốn thực hành thêm Blazor vì đang ở trình độ trung bình, hay bị vướng.",1,Lập trình,Blazor,Trung bình,legacy_cleaned,skill:blazor
"Mình học Blazor được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Blazor,Trung bình,legacy_cleaned,skill:blazor
"Tìm người hỗ trợ Blazor theo buổi, không cần cam kết dài hạn.",1,Lập trình,Blazor,Không xác định,legacy_cleaned,skill:blazor
"Đã tự học Blazor một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,Blazor,Trung bình,legacy_cleaned,skill:blazor
Bạn nào rành Bảo mật ứng dụng web chỉ giúp mình vài buổi nhập môn với.,1,Lập trình,Bảo mật ứng dụng web,Mới bắt đầu,legacy_cleaned,skill:bảo mật ứng dụng web
Cần người giỏi Bảo mật ứng dụng web hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,Bảo mật ứng dụng web,Nâng cao,legacy_cleaned,skill:bảo mật ứng dụng web
Cần người hướng dẫn Bảo mật ứng dụng web cơ bản cho người chưa có nền tảng.,1,Lập trình,Bảo mật ứng dụng web,Mới bắt đầu,legacy_cleaned,skill:bảo mật ứng dụng web
Cần người ôn lại và củng cố kiến thức Bảo mật ứng dụng web ở mức trung bình.,1,Lập trình,Bảo mật ứng dụng web,Trung bình,legacy_cleaned,skill:bảo mật ứng dụng web
Muốn được đào tạo chuyên sâu Bảo mật ứng dụng web để làm freelance/đi làm chính thức.,1,Lập trình,Bảo mật ứng dụng web,Nâng cao,legacy_cleaned,skill:bảo mật ứng dụng web
"Mình biết Bảo mật ứng dụng web ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Bảo mật ứng dụng web,Trung bình,legacy_cleaned,skill:bảo mật ứng dụng web
Mình cần một người hướng dẫn Bảo mật ứng dụng web theo lịch linh hoạt.,1,Lập trình,Bảo mật ứng dụng web,Không xác định,legacy_cleaned,skill:bảo mật ứng dụng web
"Mình cần trao đổi trực tiếp về Bảo mật ứng dụng web, ai có kinh nghiệm inbox giúp mình.",1,Lập trình,Bảo mật ứng dụng web,Không xác định,legacy_cleaned,skill:bảo mật ứng dụng web
"Mình học Bảo mật ứng dụng web được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Bảo mật ứng dụng web,Trung bình,legacy_cleaned,skill:bảo mật ứng dụng web
Tìm người có thể thử thách và nâng trình Bảo mật ứng dụng web của mình lên tầm cao mới.,1,Lập trình,Bảo mật ứng dụng web,Nâng cao,legacy_cleaned,skill:bảo mật ứng dụng web
Đang cần người có kinh nghiệm lâu năm về Bảo mật ứng dụng web để review công việc thực tế.,1,Lập trình,Bảo mật ứng dụng web,Nâng cao,legacy_cleaned,skill:bảo mật ứng dụng web
Cần buổi thực hành C++ cơ bản nâng cao hơn một chút so với người mới.,1,Lập trình,C++ cơ bản,Trung bình,legacy_cleaned,skill:c++ cơ bản
"Muốn học thử C++ cơ bản một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,C++ cơ bản,Mới bắt đầu,legacy_cleaned,skill:c++ cơ bản
Muốn nâng cao kỹ năng C++ cơ bản lên mức chuyên nghiệp.,1,Lập trình,C++ cơ bản,Nâng cao,legacy_cleaned,skill:c++ cơ bản
Muốn được đào tạo chuyên sâu C++ cơ bản để làm freelance/đi làm chính thức.,1,Lập trình,C++ cơ bản,Nâng cao,legacy_cleaned,skill:c++ cơ bản
"Mình biết C++ cơ bản ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,C++ cơ bản,Trung bình,legacy_cleaned,skill:c++ cơ bản
Mình cần một người hướng dẫn C++ cơ bản theo lịch linh hoạt.,1,Lập trình,C++ cơ bản,Không xác định,legacy_cleaned,skill:c++ cơ bản
"Mình muốn học các kỹ thuật nâng cao trong C++ cơ bản, không cần dạy lại cơ bản.",1,Lập trình,C++ cơ bản,Nâng cao,legacy_cleaned,skill:c++ cơ bản
Tìm người có thể thử thách và nâng trình C++ cơ bản của mình lên tầm cao mới.,1,Lập trình,C++ cơ bản,Nâng cao,legacy_cleaned,skill:c++ cơ bản
"Ai có thể giúp mình về C++ nâng cao không, cảm ơn nhiều.",1,Lập trình,C++ nâng cao,Không xác định,legacy_cleaned,skill:c++ nâng cao
Cần buổi thực hành C++ nâng cao nâng cao hơn một chút so với người mới.,1,Lập trình,C++ nâng cao,Trung bình,legacy_cleaned,skill:c++ nâng cao
"Muốn học thử C++ nâng cao một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,C++ nâng cao,Mới bắt đầu,legacy_cleaned,skill:c++ nâng cao
"Tìm người hỗ trợ C++ nâng cao theo buổi, không cần cam kết dài hạn.",1,Lập trình,C++ nâng cao,Không xác định,legacy_cleaned,skill:c++ nâng cao
Tìm người luyện tập cùng để cải thiện C++ nâng cao ở mức khá.,1,Lập trình,C++ nâng cao,Trung bình,legacy_cleaned,skill:c++ nâng cao
Cần buổi thực hành CI/CD nâng cao hơn một chút so với người mới.,1,Lập trình,CI/CD,Trung bình,legacy_cleaned,skill:ci/cd
Cần tư vấn chuyên sâu về CI/CD cho một dự án cụ thể đang làm.,1,Lập trình,CI/CD,Nâng cao,legacy_cleaned,skill:ci/cd
Cần đặt lịch học CI/CD vào cuối tuần.,1,Lập trình,CI/CD,Không xác định,legacy_cleaned,skill:ci/cd
Muốn nâng cao kỹ năng CI/CD lên mức chuyên nghiệp.,1,Lập trình,CI/CD,Nâng cao,legacy_cleaned,skill:ci/cd
"Mình chưa biết gì về CI/CD, ai có thể hướng dẫn từng bước không?",1,Lập trình,CI/CD,Mới bắt đầu,legacy_cleaned,skill:ci/cd
Tìm người có thể thử thách và nâng trình CI/CD của mình lên tầm cao mới.,1,Lập trình,CI/CD,Nâng cao,legacy_cleaned,skill:ci/cd
"Đang tìm mentor CI/CD, thời gian học có thể thương lượng.",1,Lập trình,CI/CD,Không xác định,legacy_cleaned,skill:ci/cd
"Ai có thể giúp mình về Computer Vision không, cảm ơn nhiều.",1,Lập trình,Computer Vision,Không xác định,legacy_cleaned,skill:computer vision
Cần một buổi học Computer Vision dành cho người mới bắt đầu.,1,Lập trình,Computer Vision,Mới bắt đầu,legacy_cleaned,skill:computer vision
Cần người giỏi Computer Vision hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,Computer Vision,Nâng cao,legacy_cleaned,skill:computer vision
Cần tìm người hỗ trợ về Computer Vision.,1,Lập trình,Computer Vision,Không xác định,legacy_cleaned,skill:computer vision
"Mình muốn học các kỹ thuật nâng cao trong Computer Vision, không cần dạy lại cơ bản.",1,Lập trình,Computer Vision,Nâng cao,legacy_cleaned,skill:computer vision
"Mình mới tìm hiểu Computer Vision, cần người kèm cặp cơ bản.",1,Lập trình,Computer Vision,Mới bắt đầu,legacy_cleaned,skill:computer vision
"Tìm gia sư dạy Computer Vision cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình,Computer Vision,Mới bắt đầu,legacy_cleaned,skill:computer vision
"Đang loay hoay không biết bắt đầu Computer Vision từ đâu, mong được hỗ trợ.",1,Lập trình,Computer Vision,Mới bắt đầu,legacy_cleaned,skill:computer vision
"Đã tự học Computer Vision một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,Computer Vision,Trung bình,legacy_cleaned,skill:computer vision
"Có ai rảnh dạy Cấu trúc dữ liệu & giải thuật không, mình cần gấp trong tuần này.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Không xác định,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
Cần lộ trình học Cấu trúc dữ liệu & giải thuật cơ bản trong 1-2 tháng.,1,Lập trình,Cấu trúc dữ liệu & giải thuật,Mới bắt đầu,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Mình biết Cấu trúc dữ liệu & giải thuật ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Trung bình,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Mình học Cấu trúc dữ liệu & giải thuật được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Trung bình,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Mình muốn học các kỹ thuật nâng cao trong Cấu trúc dữ liệu & giải thuật, không cần dạy lại cơ bản.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Nâng cao,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Mình đã biết chút ít về Cấu trúc dữ liệu & giải thuật, muốn học thêm để vững hơn.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Trung bình,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Tìm người hỗ trợ Cấu trúc dữ liệu & giải thuật theo buổi, không cần cam kết dài hạn.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Không xác định,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Đang tìm mentor Cấu trúc dữ liệu & giải thuật, thời gian học có thể thương lượng.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Không xác định,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
"Đã tự học Cấu trúc dữ liệu & giải thuật một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,Cấu trúc dữ liệu & giải thuật,Trung bình,legacy_cleaned,skill:cấu trúc dữ liệu & giải thuật
Bạn nào rành Data Cleaning chỉ giúp mình vài buổi nhập môn với.,1,Lập trình,Data Cleaning,Mới bắt đầu,legacy_cleaned,skill:data cleaning
"Có ai rảnh dạy Data Cleaning không, mình cần gấp trong tuần này.",1,Lập trình,Data Cleaning,Không xác định,legacy_cleaned,skill:data cleaning
Cần người giỏi Data Cleaning hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,Data Cleaning,Nâng cao,legacy_cleaned,skill:data cleaning
Cần người ôn lại và củng cố kiến thức Data Cleaning ở mức trung bình.,1,Lập trình,Data Cleaning,Trung bình,legacy_cleaned,skill:data cleaning
Cần đặt lịch học Data Cleaning vào cuối tuần.,1,Lập trình,Data Cleaning,Không xác định,legacy_cleaned,skill:data cleaning
"Mình biết Data Cleaning ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Data Cleaning,Trung bình,legacy_cleaned,skill:data cleaning
Mình cần một người hướng dẫn Data Cleaning theo lịch linh hoạt.,1,Lập trình,Data Cleaning,Không xác định,legacy_cleaned,skill:data cleaning
Bạn nào rành Data Engineering chỉ giúp mình vài buổi nhập môn với.,1,Lập trình,Data Engineering,Mới bắt đầu,legacy_cleaned,skill:data engineering
"Muốn học thử Data Engineering một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,Data Engineering,Mới bắt đầu,legacy_cleaned,skill:data engineering
"Mình biết Data Engineering ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Data Engineering,Trung bình,legacy_cleaned,skill:data engineering
Tìm mentor Data Engineering trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,1,Lập trình,Data Engineering,Nâng cao,legacy_cleaned,skill:data engineering
Tìm người luyện tập cùng để cải thiện Data Engineering ở mức khá.,1,Lập trình,Data Engineering,Trung bình,legacy_cleaned,skill:data engineering
"Đang tìm mentor Data Engineering, thời gian học có thể thương lượng.",1,Lập trình,Data Engineering,Không xác định,legacy_cleaned,skill:data engineering
"Có ai rảnh dạy Data Science không, mình cần gấp trong tuần này.",1,Lập trình,Data Science,Không xác định,legacy_cleaned,skill:data science
Cần chuyên gia Data Science hướng dẫn làm dự án thực tế.,1,Lập trình,Data Science,Nâng cao,legacy_cleaned,skill:data science
Cần tư vấn chuyên sâu về Data Science cho một dự án cụ thể đang làm.,1,Lập trình,Data Science,Nâng cao,legacy_cleaned,skill:data science
"Muốn học thử Data Science một buổi xem có hợp không, trình độ mới toanh.",1,Lập trình,Data Science,Mới bắt đầu,legacy_cleaned,skill:data science
Mình cần một người hướng dẫn Data Science theo lịch linh hoạt.,1,Lập trình,Data Science,Không xác định,legacy_cleaned,skill:data science
"Mình cần trao đổi trực tiếp về Data Science, ai có kinh nghiệm inbox giúp mình.",1,Lập trình,Data Science,Không xác định,legacy_cleaned,skill:data science
"Tìm người dạy Data Science cho người tay ngang, chưa từng học qua.",1,Lập trình,Data Science,Mới bắt đầu,legacy_cleaned,skill:data science
"Ai có thể giúp mình về Deep Learning không, cảm ơn nhiều.",1,Lập trình,Deep Learning,Không xác định,legacy_cleaned,skill:deep learning
Cần một buổi học Deep Learning dành cho người mới bắt đầu.,1,Lập trình,Deep Learning,Mới bắt đầu,legacy_cleaned,skill:deep learning
"Mình biết Deep Learning ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Deep Learning,Trung bình,legacy_cleaned,skill:deep learning
"Mình cần trao đổi trực tiếp về Deep Learning, ai có kinh nghiệm inbox giúp mình.",1,Lập trình,Deep Learning,Không xác định,legacy_cleaned,skill:deep learning
"Mình học Deep Learning được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Deep Learning,Trung bình,legacy_cleaned,skill:deep learning
"Mình đã có nền tảng Deep Learning khá tốt, muốn học chuyên sâu hơn.",1,Lập trình,Deep Learning,Nâng cao,legacy_cleaned,skill:deep learning
"Tìm người dạy Deep Learning cho người tay ngang, chưa từng học qua.",1,Lập trình,Deep Learning,Mới bắt đầu,legacy_cleaned,skill:deep learning
"Đã tự học Deep Learning một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,Deep Learning,Trung bình,legacy_cleaned,skill:deep learning
Cần người giỏi Django hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,Django,Nâng cao,legacy_cleaned,skill:django
Cần người ôn lại và củng cố kiến thức Django ở mức trung bình.,1,Lập trình,Django,Trung bình,legacy_cleaned,skill:django
Muốn nâng cao kỹ năng Django lên mức chuyên nghiệp.,1,Lập trình,Django,Nâng cao,legacy_cleaned,skill:django
"Mình cần trao đổi trực tiếp về Django, ai có kinh nghiệm inbox giúp mình.",1,Lập trình,Django,Không xác định,legacy_cleaned,skill:django
"Mình là học sinh mới, muốn được chỉ Django từ những khái niệm đầu tiên.",1,Lập trình,Django,Mới bắt đầu,legacy_cleaned,skill:django
"Tìm gia sư dạy Django cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình,Django,Mới bắt đầu,legacy_cleaned,skill:django
"Tìm người hỗ trợ Django theo buổi, không cần cam kết dài hạn.",1,Lập trình,Django,Không xác định,legacy_cleaned,skill:django
Tìm người luyện tập cùng để cải thiện Django ở mức khá.,1,Lập trình,Django,Trung bình,legacy_cleaned,skill:django
"Đang loay hoay không biết bắt đầu Django từ đâu, mong được hỗ trợ.",1,Lập trình,Django,Mới bắt đầu,legacy_cleaned,skill:django
Bạn nào rành Docker chỉ giúp mình vài buổi nhập môn với.,1,Lập trình,Docker,Mới bắt đầu,legacy_cleaned,skill:docker
Cần người hướng dẫn Docker cơ bản cho người chưa có nền tảng.,1,Lập trình,Docker,Mới bắt đầu,legacy_cleaned,skill:docker
"Muốn trao đổi, thực hành Docker cùng người có kinh nghiệm hơn một chút.",1,Lập trình,Docker,Trung bình,legacy_cleaned,skill:docker
"Mình biết Docker ở mức cơ bản, muốn lên trình độ trung cấp.",1,Lập trình,Docker,Trung bình,legacy_cleaned,skill:docker
"Mình học Docker được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình,Docker,Trung bình,legacy_cleaned,skill:docker
"Mình là học sinh mới, muốn được chỉ Docker từ những khái niệm đầu tiên.",1,Lập trình,Docker,Mới bắt đầu,legacy_cleaned,skill:docker
"Mình đã biết chút ít về Docker, muốn học thêm để vững hơn.",1,Lập trình,Docker,Trung bình,legacy_cleaned,skill:docker
Tìm mentor Docker trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,1,Lập trình,Docker,Nâng cao,legacy_cleaned,skill:docker
"Tìm người hỗ trợ Docker theo buổi, không cần cam kết dài hạn.",1,Lập trình,Docker,Không xác định,legacy_cleaned,skill:docker
Đang cần người có kinh nghiệm lâu năm về Docker để review công việc thực tế.,1,Lập trình,Docker,Nâng cao,legacy_cleaned,skill:docker
"Đang tìm mentor Docker, thời gian học có thể thương lượng.",1,Lập trình,Docker,Không xác định,legacy_cleaned,skill:docker
"Đã tự học Docker một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình,Docker,Trung bình,legacy_cleaned,skill:docker
Cần chuyên gia Excel nâng cao (VBA) hướng dẫn làm dự án thực tế.,1,Lập trình,Excel nâng cao (VBA),Nâng cao,legacy_cleaned,skill:excel nâng cao (vba)
Cần một buổi học Excel nâng cao (VBA) dành cho người mới bắt đầu.,1,Lập trình,Excel nâng cao (VBA),Mới bắt đầu,legacy_cleaned,skill:excel nâng cao (vba)
Cần người ôn lại và củng cố kiến thức Excel nâng cao (VBA) ở mức trung bình.,1,Lập trình,Excel nâng cao (VBA),Trung bình,legacy_cleaned,skill:excel nâng cao (vba)
Cần tìm người hỗ trợ về Excel nâng cao (VBA).,1,Lập trình,Excel nâng cao (VBA),Không xác định,legacy_cleaned,skill:excel nâng cao (vba)
Muốn được đào tạo chuyên sâu Excel nâng cao (VBA) để làm freelance/đi làm chính thức.,1,Lập trình,Excel nâng cao (VBA),Nâng cao,legacy_cleaned,skill:excel nâng cao (vba)
"Mình mới tìm hiểu Excel nâng cao (VBA), cần người kèm cặp cơ bản.",1,Lập trình,Excel nâng cao (VBA),Mới bắt đầu,legacy_cleaned,skill:excel nâng cao (vba)
Tìm người có thể thử thách và nâng trình Excel nâng cao (VBA) của mình lên tầm cao mới.,1,Lập trình,Excel nâng cao (VBA),Nâng cao,legacy_cleaned,skill:excel nâng cao (vba)
Cần lộ trình học ExpressJS cơ bản trong 1-2 tháng.,1,Lập trình,ExpressJS,Mới bắt đầu,legacy_cleaned,skill:expressjs
Cần một buổi học ExpressJS dành cho người mới bắt đầu.,1,Lập trình,ExpressJS,Mới bắt đầu,legacy_cleaned,skill:expressjs
"Mình muốn học các kỹ thuật nâng cao trong ExpressJS, không cần dạy lại cơ bản.",1,Lập trình,ExpressJS,Nâng cao,legacy_cleaned,skill:expressjs
"Mình mất gốc hoàn toàn, muốn tìm người kèm ExpressJS từ con số 0.",1,Lập trình,ExpressJS,Mới bắt đầu,legacy_cleaned,skill:expressjs
"Mình đã có nền tảng ExpressJS khá tốt, muốn học chuyên sâu hơn.",1,Lập trình,ExpressJS,Nâng cao,legacy_cleaned,skill:expressjs
Tìm mentor ExpressJS trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,1,Lập trình,ExpressJS,Nâng cao,legacy_cleaned,skill:expressjs
