description,category_id,category_name,skill_name,level
Cần một buổi học chạy bộ (Running) dành cho người mới bắt đầu.,11,Thể thao,chạy bộ (Running),Cơ bản
Tìm người có thể thử thách và nâng trình Sáo trúc của mình lên tầm cao mới.,11,Thể thao,Sáo trúc,Nâng cao
Tìm người có thể thử thách và nâng trình Chốt sale qua điện thoại của mình lên tầm cao mới.,6,Marketing & Kinh doanh,Chốt sale qua điện thoại,Nâng cao
"Tìm gia sư dạy Luyện thi THPT Quốc gia cấp độ vỡ lòng, học chậm cũng được.",12,Gia sư & Học tập,Luyện thi THPT Quốc gia,Cơ bản
Cần người ôn lại và củng cố kiến thức nấu món Nhật ở mức trung bình.,10,Nấu ăn,nấu món Nhật,Trung bình
"Mình biết Tiếng Bồ Đào Nha ở mức cơ bản, muốn lên trình độ trung cấp.",3,Ngoại ngữ,Tiếng Bồ Đào Nha,Trung bình
"Đã tự học Thiết kế hệ thống một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình phần mềm,Thiết kế hệ thống,Trung bình
"Tìm người hỗ trợ C++ cơ bản theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,C++ cơ bản,Không xác định
"Tìm người có kinh nghiệm về Làm gốm (Pottery) để trao đổi, học hỏi.",8,Nghệ thuật,Làm gốm (Pottery),Không xác định
Cần thợ sơn sửa nhà cửa vào buổi tối sau giờ làm việc.,9,Sửa chữa,sơn sửa nhà cửa,Định kỳ
Cần tìm người hỗ trợ về Khởi nghiệp (Startup).,6,Marketing & Kinh doanh,Khởi nghiệp (Startup),Không xác định
"Mình muốn học các kỹ thuật nâng cao trong Cấu trúc dữ liệu & giải thuật, không cần dạy lại cơ bản.",1,Lập trình phần mềm,Cấu trúc dữ liệu & giải thuật,Nâng cao
"Mình mới tìm hiểu Azure, cần người kèm cặp cơ bản.",1,Lập trình phần mềm,Azure,Cơ bản
Mình cần một người hướng dẫn Tiếng Anh cho trẻ em theo lịch linh hoạt.,3,Ngoại ngữ,Tiếng Anh cho trẻ em,Không xác định
"Muốn học thử Chỉnh sửa video (Premiere) một buổi xem có hợp không, trình độ mới toanh.",8,Nghệ thuật,Chỉnh sửa video (Premiere),Cơ bản
"Mình học Prototyping được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",5,UI/UX,Prototyping,Trung bình
Tìm người sửa máy tính/laptop định kỳ hàng tháng cho gia đình.,9,Sửa chữa,sửa máy tính/laptop,Định kỳ
Đang cần người có kinh nghiệm lâu năm về Ruby on Rails để review công việc thực tế.,1,Lập trình phần mềm,Ruby on Rails,Nâng cao
"Mình học Tiếng Bồ Đào Nha được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",3,Ngoại ngữ,Tiếng Bồ Đào Nha,Trung bình
Cần lộ trình học Pilates cơ bản trong 1-2 tháng.,11,Thể thao,Pilates,Cơ bản
"Mình học Tiếng Trung HSK3 được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",3,Ngoại ngữ,Tiếng Trung HSK3,Trung bình
Cần thợ sửa điện dân dụng tới xem tình trạng hư hỏng giúp mình.,9,Sửa chữa,sửa điện dân dụng,Không xác định
Cần người review lại các lỗi cơ bản khi làm Rust.,1,Lập trình phần mềm,Rust,Trung bình
Muốn nâng cao kỹ năng Big Data / Spark lên mức chuyên nghiệp.,2,AI & Data Science,Big Data / Spark,Nâng cao
Cần tìm người hỗ trợ về bóng rổ.,11,Thể thao,bóng rổ,Không xác định
Muốn nâng cao kỹ năng Tiếng Nhật N3 lên mức chuyên nghiệp.,3,Ngoại ngữ,Tiếng Nhật N3,Nâng cao
Cần buổi thực hành Tiếng Trung HSK2 nâng cao hơn một chút so với người mới.,3,Ngoại ngữ,Tiếng Trung HSK2,Trung bình
Muốn tìm người dạy nấu món Thái 1 kèm 1 online hoặc offline đều được.,10,Nấu ăn,nấu món Thái,Không xác định
"Muốn trao đổi, thực hành Thiết kế Social Media cùng người có kinh nghiệm hơn một chút.",4,Thiết kế đồ họa,Thiết kế Social Media,Trung bình
Đang cần người có kinh nghiệm lâu năm về Tiếng Việt Tiểu học để review công việc thực tế.,12,Gia sư & Học tập,Tiếng Việt Tiểu học,Nâng cao
"Muốn thực hành thêm nấu món Nhật vì đang ở trình độ trung bình, hay bị vướng.",10,Nấu ăn,nấu món Nhật,Trung bình
Muốn được đào tạo chuyên sâu Nhiếp ảnh chân dung để làm freelance/đi làm chính thức.,8,Nghệ thuật,Nhiếp ảnh chân dung,Nâng cao
"Mình biết Tiếng Anh học thuật (Academic English) ở mức cơ bản, muốn lên trình độ trung cấp.",3,Ngoại ngữ,Tiếng Anh học thuật (Academic English),Trung bình
"Ai có thể giúp mình về Mix & Master nhạc không, cảm ơn nhiều.",7,Âm nhạc,Mix & Master nhạc,Không xác định
Cần lộ trình học Thiết kế ấn phẩm in cơ bản trong 1-2 tháng.,4,Thiết kế đồ họa,Thiết kế ấn phẩm in,Cơ bản
"Đang tìm mentor Vẽ Sơn dầu, thời gian học có thể thương lượng.",4,Thiết kế đồ họa,Vẽ Sơn dầu,Không xác định
"Đang loay hoay không biết bắt đầu Illustrator từ đâu, mong được hỗ trợ.",4,Thiết kế đồ họa,Illustrator,Cơ bản
"Mình đã có nền tảng Java khá tốt, muốn học chuyên sâu hơn.",1,Lập trình phần mềm,Java,Nâng cao
"Tìm người hỗ trợ Tiếng Hàn TOPIK theo buổi, không cần cam kết dài hạn.",3,Ngoại ngữ,Tiếng Hàn TOPIK,Không xác định
"Tìm người có kinh nghiệm về Thiết kế Card visit để trao đổi, học hỏi.",4,Thiết kế đồ họa,Thiết kế Card visit,Không xác định
"Đang tìm mentor Tiếng Trung HSK5, thời gian học có thể thương lượng.",3,Ngoại ngữ,Tiếng Trung HSK5,Không xác định
Muốn được đào tạo chuyên sâu Tiếng Nhật N3 để làm freelance/đi làm chính thức.,3,Ngoại ngữ,Tiếng Nhật N3,Nâng cao
"Mình muốn học các kỹ thuật nâng cao trong Toán Tiểu học, không cần dạy lại cơ bản.",12,Gia sư & Học tập,Toán Tiểu học,Nâng cao
"Mình cần trao đổi trực tiếp về Adobe XD, ai có kinh nghiệm inbox giúp mình.",5,UI/UX,Adobe XD,Không xác định
"Có ai rảnh dạy bơi lội không, mình cần gấp trong tuần này.",11,Thể thao,bơi lội,Không xác định
"Mình mất gốc hoàn toàn, muốn tìm người kèm Scikit-learn từ con số 0.",2,AI & Data Science,Scikit-learn,Cơ bản
Tìm người có thể thử thách và nâng trình Chỉnh sửa video (Premiere) của mình lên tầm cao mới.,8,Nghệ thuật,Chỉnh sửa video (Premiere),Nâng cao
"Mình biết PyTorch ở mức cơ bản, muốn lên trình độ trung cấp.",2,AI & Data Science,PyTorch,Trung bình
Cần buổi thực hành Hoạt hình 2D (Animation) nâng cao hơn một chút so với người mới.,8,Nghệ thuật,Hoạt hình 2D (Animation),Trung bình
"Mình đã biết chút ít về Hóa Học phổ thông, muốn học thêm để vững hơn.",12,Gia sư & Học tập,Hóa Học phổ thông,Trung bình
Cần tư vấn chuyên sâu về nấu món chiên/nướng BBQ cho một dự án cụ thể đang làm.,10,Nấu ăn,nấu món chiên/nướng BBQ,Nâng cao
"Đang loay hoay không biết bắt đầu Quản lý dự án (Project Management) từ đâu, mong được hỗ trợ.",6,Marketing & Kinh doanh,Quản lý dự án (Project Management),Cơ bản
"Tìm người dạy Piano đệm hát cho người tay ngang, chưa từng học qua.",7,Âm nhạc,Piano đệm hát,Cơ bản
"Mình đã có nền tảng Docker khá tốt, muốn học chuyên sâu hơn.",1,Lập trình phần mềm,Docker,Nâng cao
"Tìm người có kinh nghiệm về Terraform để trao đổi, học hỏi.",1,Lập trình phần mềm,Terraform,Không xác định
"Mình cần trao đổi trực tiếp về Thiết kế hệ thống, ai có kinh nghiệm inbox giúp mình.",1,Lập trình phần mềm,Thiết kế hệ thống,Không xác định
Cần người giỏi Làm gốm (Pottery) hỗ trợ giải quyết vấn đề khó trong công việc.,8,Nghệ thuật,Làm gốm (Pottery),Nâng cao
Mình cần sửa đồ gỗ nội thất kèm theo báo giá vật tư thay thế nếu có.,9,Sửa chữa,sửa đồ gỗ nội thất,Không xác định
"Đang loay hoay không biết bắt đầu Canva chuyên nghiệp từ đâu, mong được hỗ trợ.",4,Thiết kế đồ họa,Canva chuyên nghiệp,Cơ bản
"Mình đã có nền tảng Làm gốm (Pottery) khá tốt, muốn học chuyên sâu hơn.",8,Nghệ thuật,Làm gốm (Pottery),Nâng cao
Cần một buổi học React Native dành cho người mới bắt đầu.,1,Lập trình phần mềm,React Native,Cơ bản
"Mình mới tìm hiểu CI/CD, cần người kèm cặp cơ bản.",1,Lập trình phần mềm,CI/CD,Cơ bản
"Mình là học sinh mới, muốn được chỉ AI Agent từ những khái niệm đầu tiên.",2,AI & Data Science,AI Agent,Cơ bản
Cần người ôn lại và củng cố kiến thức AWS ở mức trung bình.,1,Lập trình phần mềm,AWS,Trung bình
Tìm mentor Machine Learning trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,2,AI & Data Science,Machine Learning,Nâng cao
Cần tư vấn chuyên sâu về Bảo mật ứng dụng web cho một dự án cụ thể đang làm.,1,Lập trình phần mềm,Bảo mật ứng dụng web,Nâng cao
"Tìm người dạy Thiết kế banner quảng cáo cho người tay ngang, chưa từng học qua.",4,Thiết kế đồ họa,Thiết kế banner quảng cáo,Cơ bản
"Tìm người có kinh nghiệm về Toán lớp 6-9 để trao đổi, học hỏi.",12,Gia sư & Học tập,Toán lớp 6-9,Không xác định
"Muốn thực hành thêm làm sữa chua/phô mai handmade vì đang ở trình độ trung bình, hay bị vướng.",5,UI/UX,làm sữa chua/phô mai handmade,Trung bình
Cần đặt lịch học Guitar Fingerstyle vào cuối tuần.,7,Âm nhạc,Guitar Fingerstyle,Không xác định
"Đã tự học FastAPI một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình phần mềm,FastAPI,Trung bình
Cần người giỏi Data Science hỗ trợ giải quyết vấn đề khó trong công việc.,2,AI & Data Science,Data Science,Nâng cao
Muốn tìm người dạy Vật Lý phổ thông 1 kèm 1 online hoặc offline đều được.,12,Gia sư & Học tập,Vật Lý phổ thông,Không xác định
Cần đặt lịch học Kiểm thử phần mềm (QA) vào cuối tuần.,1,Lập trình phần mềm,Kiểm thử phần mềm (QA),Không xác định
Tìm người luyện tập cùng để cải thiện Kotlin thuần ở mức khá.,1,Lập trình phần mềm,Kotlin thuần,Trung bình
"Mình là học sinh mới, muốn được chỉ Prompt Engineering từ những khái niệm đầu tiên.",2,AI & Data Science,Prompt Engineering,Cơ bản
"Mình chưa biết gì về TikTok Marketing, ai có thể hướng dẫn từng bước không?",6,Marketing & Kinh doanh,TikTok Marketing,Cơ bản
Đang cần người có kinh nghiệm lâu năm về Guitar Solo để review công việc thực tế.,7,Âm nhạc,Guitar Solo,Nâng cao
Cần lộ trình học Design Thinking cơ bản trong 1-2 tháng.,5,UI/UX,Design Thinking,Cơ bản
"Tìm người dạy Git & GitHub cho người tay ngang, chưa từng học qua.",1,Lập trình phần mềm,Git & GitHub,Cơ bản
"Có ai rảnh dạy Tiếng Pháp không, mình cần gấp trong tuần này.",3,Ngoại ngữ,Tiếng Pháp,Không xác định
Muốn tìm người dạy Toán luyện thi Đại học 1 kèm 1 online hoặc offline đều được.,12,Gia sư & Học tập,Toán luyện thi Đại học,Không xác định
Muốn được đào tạo chuyên sâu TikTok Marketing để làm freelance/đi làm chính thức.,6,Marketing & Kinh doanh,TikTok Marketing,Nâng cao
Cần lộ trình học MySQL cơ bản trong 1-2 tháng.,1,Lập trình phần mềm,MySQL,Cơ bản
Muốn được đào tạo chuyên sâu trang trí tiệc/set bàn ăn để làm freelance/đi làm chính thức.,10,Nấu ăn,trang trí tiệc/set bàn ăn,Nâng cao
"Tìm gia sư dạy Terraform cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình phần mềm,Terraform,Cơ bản
Tìm mentor Google Ads trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,6,Marketing & Kinh doanh,Google Ads,Nâng cao
"Mình biết Kế toán cơ bản cho chủ shop ở mức cơ bản, muốn lên trình độ trung cấp.",6,Marketing & Kinh doanh,Kế toán cơ bản cho chủ shop,Trung bình
"Tìm người sửa tủ lạnh uy tín, giá cả hợp lý.",9,Sửa chữa,sửa tủ lạnh,Không xác định
"Tìm gia sư dạy Quản trị nhân sự cơ bản cấp độ vỡ lòng, học chậm cũng được.",6,Marketing & Kinh doanh,Quản trị nhân sự cơ bản,Cơ bản
"Muốn trao đổi, thực hành Figma nâng cao (Auto Layout) cùng người có kinh nghiệm hơn một chút.",5,UI/UX,Figma nâng cao (Auto Layout),Trung bình
Cần người ôn lại và củng cố kiến thức Blazor ở mức trung bình.,1,Lập trình phần mềm,Blazor,Trung bình
"Đang loay hoay không biết bắt đầu Azure từ đâu, mong được hỗ trợ.",1,Lập trình phần mềm,Azure,Cơ bản
Cần lộ trình học bóng đá cho trẻ em cơ bản trong 1-2 tháng.,11,Thể thao,bóng đá cho trẻ em,Cơ bản
"Tìm người dạy MLOps cho người tay ngang, chưa từng học qua.",2,AI & Data Science,MLOps,Cơ bản
Cần người ôn lại và củng cố kiến thức Accessibility trong thiết kế (A11y) ở mức trung bình.,5,UI/UX,Accessibility trong thiết kế (A11y),Trung bình
"Mình học làm sữa chua/phô mai handmade được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",10,Nấu ăn,làm sữa chua/phô mai handmade,Trung bình
Cần người review lại các lỗi cơ bản khi làm nấu món Ấn Độ.,10,Nấu ăn,nấu món Ấn Độ,Trung bình
"Đang tìm mentor User Journey Mapping, thời gian học có thể thương lượng.",5,UI/UX,User Journey Mapping,Không xác định
"Muốn học thử Violin một buổi xem có hợp không, trình độ mới toanh.",7,Âm nhạc,Violin,Cơ bản
"Mình cần trao đổi trực tiếp về trượt ván (Skateboarding), ai có kinh nghiệm inbox giúp mình.",11,Thể thao,trượt ván (Skateboarding),Không xác định
"Muốn học thử Tiếng Hàn giao tiếp một buổi xem có hợp không, trình độ mới toanh.",3,Ngoại ngữ,Tiếng Hàn giao tiếp,Cơ bản
"Mình cần trao đổi trực tiếp về Guitar Solo, ai có kinh nghiệm inbox giúp mình.",7,Âm nhạc,Guitar Solo,Không xác định
"Mình mất gốc hoàn toàn, muốn tìm người kèm Git & GitHub từ con số 0.",1,Lập trình phần mềm,Git & GitHub,Cơ bản
"Đang tìm mentor bơi lội, thời gian học có thể thương lượng.",11,Thể thao,bơi lội,Không xác định
"Mình muốn học các kỹ thuật nâng cao trong Tiếng Anh B1, không cần dạy lại cơ bản.",3,Ngoại ngữ,Tiếng Anh B1,Nâng cao
"Muốn thực hành thêm Nghiên cứu người dùng (UX Research) vì đang ở trình độ trung bình, hay bị vướng.",5,UI/UX,Nghiên cứu người dùng (UX Research),Trung bình
Cần chuyên gia Kinh doanh Thương mại điện tử hướng dẫn làm dự án thực tế.,6,Marketing & Kinh doanh,Kinh doanh Thương mại điện tử,Nâng cao
"Mình là học sinh mới, muốn được chỉ Solidity (Blockchain) từ những khái niệm đầu tiên.",1,Lập trình phần mềm,Solidity (Blockchain),Cơ bản
Cần chuyên gia Tiếng Trung HSK3 hướng dẫn làm dự án thực tế.,3,Ngoại ngữ,Tiếng Trung HSK3,Nâng cao
Cần đặt lịch học Solidity (Blockchain) vào cuối tuần.,1,Lập trình phần mềm,Solidity (Blockchain),Không xác định
"Muốn học thử Nặn tượng nhỏ (Miniature) một buổi xem có hợp không, trình độ mới toanh.",8,Nghệ thuật,Nặn tượng nhỏ (Miniature),Cơ bản
"Tìm gia sư dạy React Native cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình phần mềm,React Native,Cơ bản
"Đang tìm mentor Xây kênh TikTok, thời gian học có thể thương lượng.",6,Marketing & Kinh doanh,Xây kênh TikTok,Không xác định
Cần tìm người hỗ trợ về Android (Kotlin).,1,Lập trình phần mềm,Android (Kotlin),Không xác định
"Mình biết Xây kênh YouTube ở mức cơ bản, muốn lên trình độ trung cấp.",6,Marketing & Kinh doanh,Xây kênh YouTube,Trung bình
"Muốn trao đổi, thực hành Trực quan hóa dữ liệu cùng người có kinh nghiệm hơn một chút.",2,AI & Data Science,Trực quan hóa dữ liệu,Trung bình
Bạn nào rành đạp xe chỉ giúp mình vài buổi nhập môn với.,11,Thể thao,đạp xe,Cơ bản
"Tìm người hỗ trợ AWS theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,AWS,Không xác định
"Tìm người dạy Tiếng Anh A2 cho người tay ngang, chưa từng học qua.",3,Ngoại ngữ,Tiếng Anh A2,Cơ bản
"Mình mới tìm hiểu Blender 3D cơ bản, cần người kèm cặp cơ bản.",4,Thiết kế đồ họa,Blender 3D cơ bản,Cơ bản
"Mình học Vue.js được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",5,UI/UX,Vue.js,Trung bình
Cần người ôn lại và củng cố kiến thức nấu món Việt truyền thống ở mức trung bình.,10,Nấu ăn,nấu món Việt truyền thống,Trung bình
"Tìm người hỗ trợ GraphQL theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,GraphQL,Không xác định
Cần người giỏi Rust hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình phần mềm,Rust,Nâng cao
"Muốn thực hành thêm Data Science vì đang ở trình độ trung bình, hay bị vướng.",2,AI & Data Science,Data Science,Trung bình
Muốn nâng cao kỹ năng Wireframing lên mức chuyên nghiệp.,5,UI/UX,Wireframing,Nâng cao
"Tìm người dạy Thiết kế Kỷ yếu cho người tay ngang, chưa từng học qua.",4,Thiết kế đồ họa,Thiết kế Kỷ yếu,Cơ bản
Cần người review lại các lỗi cơ bản khi làm nấu món Thái.,10,Nấu ăn,nấu món Thái,Trung bình
"Tìm người có kinh nghiệm về Canva chuyên nghiệp để trao đổi, học hỏi.",4,Thiết kế đồ họa,Canva chuyên nghiệp,Không xác định
Cần tư vấn chuyên sâu về Trumpet cho một dự án cụ thể đang làm.,7,Âm nhạc,Trumpet,Nâng cao
Tìm người có thể thử thách và nâng trình Prototyping của mình lên tầm cao mới.,5,UI/UX,Prototyping,Nâng cao
Muốn tìm người dạy Tiếng Anh A2 1 kèm 1 online hoặc offline đều được.,3,Ngoại ngữ,Tiếng Anh A2,Không xác định
"Có ai rảnh dạy Toán tư duy cho trẻ em không, mình cần gấp trong tuần này.",12,Gia sư & Học tập,Toán tư duy cho trẻ em,Không xác định
"Mình chưa biết gì về Violin, ai có thể hướng dẫn từng bước không?",7,Âm nhạc,Violin,Cơ bản
Muốn nâng cao kỹ năng Thanh nhạc (hát) lên mức chuyên nghiệp.,7,Âm nhạc,Thanh nhạc (hát),Nâng cao
"Mình biết Kỹ năng học tập hiệu quả ở mức cơ bản, muốn lên trình độ trung cấp.",12,Gia sư & Học tập,Kỹ năng học tập hiệu quả,Trung bình
Cần tìm người hỗ trợ về Pilates.,11,Thể thao,Pilates,Không xác định
"Ai có thể giúp mình về Portfolio UX cho người mới không, cảm ơn nhiều.",5,UI/UX,Portfolio UX cho người mới,Không xác định
Cần người hướng dẫn Thanh nhạc cho trẻ em cơ bản cho người chưa có nền tảng.,7,Âm nhạc,Thanh nhạc cho trẻ em,Cơ bản
"Đang loay hoay không biết bắt đầu Unreal Engine từ đâu, mong được hỗ trợ.",1,Lập trình phần mềm,Unreal Engine,Cơ bản
"Mình chưa biết gì về Toán tư duy cho trẻ em, ai có thể hướng dẫn từng bước không?",12,Gia sư & Học tập,Toán tư duy cho trẻ em,Cơ bản
Tìm người có thể thử thách và nâng trình UI cho Web của mình lên tầm cao mới.,5,UI/UX,UI cho Web,Nâng cao
"Mình học Thanh nhạc (hát) được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",7,Âm nhạc,Thanh nhạc (hát),Trung bình
Bạn nào rành Thiết kế Design System chỉ giúp mình vài buổi nhập môn với.,6,Marketing & Kinh doanh,Thiết kế Design System,Cơ bản
Cần chuyên gia Git & GitHub hướng dẫn làm dự án thực tế.,1,Lập trình phần mềm,Git & GitHub,Nâng cao
Tìm mentor AWS trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,1,Lập trình phần mềm,AWS,Nâng cao
Muốn được đào tạo chuyên sâu R Programming để làm freelance/đi làm chính thức.,2,AI & Data Science,R Programming,Nâng cao
"Muốn trao đổi, thực hành CI/CD cùng người có kinh nghiệm hơn một chút.",1,Lập trình phần mềm,CI/CD,Trung bình
"Tìm người dạy Làm đồ handmade trang trí cho người tay ngang, chưa từng học qua.",8,Nghệ thuật,Làm đồ handmade trang trí,Cơ bản
Cần một buổi học Design Thinking dành cho người mới bắt đầu.,5,UI/UX,Design Thinking,Cơ bản
Cần lộ trình học Toán Tiểu học cơ bản trong 1-2 tháng.,12,Gia sư & Học tập,Toán Tiểu học,Cơ bản
"Mình đã có nền tảng Tiếng Anh B1 khá tốt, muốn học chuyên sâu hơn.",3,Ngoại ngữ,Tiếng Anh B1,Nâng cao
"Mình muốn học các kỹ thuật nâng cao trong Wireframing, không cần dạy lại cơ bản.",5,UI/UX,Wireframing,Nâng cao
Tìm mentor Ngữ Văn phổ thông trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,12,Gia sư & Học tập,Ngữ Văn phổ thông,Nâng cao
Cần người ôn lại và củng cố kiến thức Vẽ chân dung bằng chì ở mức trung bình.,8,Nghệ thuật,Vẽ chân dung bằng chì,Trung bình
"Mình học Web3 được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình phần mềm,Web3,Trung bình
Đang cần người có kinh nghiệm lâu năm về nấu món chay để review công việc thực tế.,10,Nấu ăn,nấu món chay,Nâng cao
Cần buổi thực hành nấu ăn cho bé ăn dặm nâng cao hơn một chút so với người mới.,10,Nấu ăn,nấu ăn cho bé ăn dặm,Trung bình
Muốn nâng cao kỹ năng Kinh doanh Thương mại điện tử lên mức chuyên nghiệp.,6,Marketing & Kinh doanh,Kinh doanh Thương mại điện tử,Nâng cao
Mình cần một người hướng dẫn Vue.js theo lịch linh hoạt.,1,Lập trình phần mềm,Vue.js,Không xác định
Muốn nâng cao kỹ năng Deep Learning lên mức chuyên nghiệp.,2,AI & Data Science,Deep Learning,Nâng cao
Cần chuyên gia Thiết kế nội thất 3D (SketchUp) hướng dẫn làm dự án thực tế.,4,Thiết kế đồ họa,Thiết kế nội thất 3D (SketchUp),Nâng cao
"Mình đã biết chút ít về Prompt Engineering, muốn học thêm để vững hơn.",2,AI & Data Science,Prompt Engineering,Trung bình
"Tìm người hỗ trợ User Journey Mapping theo buổi, không cần cam kết dài hạn.",5,UI/UX,User Journey Mapping,Không xác định
"Mình mới tìm hiểu Kinh doanh Thương mại điện tử, cần người kèm cặp cơ bản.",6,Marketing & Kinh doanh,Kinh doanh Thương mại điện tử,Cơ bản
"Tìm người có kinh nghiệm về làm bánh mì để trao đổi, học hỏi.",10,Nấu ăn,làm bánh mì,Không xác định
"Tìm người dạy PyTorch cho người tay ngang, chưa từng học qua.",2,AI & Data Science,PyTorch,Cơ bản
"Mình cần trao đổi trực tiếp về Solidity (Blockchain), ai có kinh nghiệm inbox giúp mình.",1,Lập trình phần mềm,Solidity (Blockchain),Không xác định
Cần đặt lịch học Luyện thi học sinh giỏi vào cuối tuần.,12,Gia sư & Học tập,Luyện thi học sinh giỏi,Không xác định
Tìm người luyện tập cùng để cải thiện ReactJS ở mức khá.,1,Lập trình phần mềm,ReactJS,Trung bình
Cần chuyên gia Nghiên cứu người dùng (UX Research) hướng dẫn làm dự án thực tế.,5,UI/UX,Nghiên cứu người dùng (UX Research),Nâng cao
"Tìm người có kinh nghiệm về Adobe XD để trao đổi, học hỏi.",5,UI/UX,Adobe XD,Không xác định
Cần người review lại các lỗi cơ bản khi làm Tiếng Anh trẻ em mất gốc.,3,Ngoại ngữ,Tiếng Anh trẻ em mất gốc,Trung bình
Mình cần một người hướng dẫn ReactJS theo lịch linh hoạt.,1,Lập trình phần mềm,ReactJS,Không xác định
"Muốn thực hành thêm Thiết kế Infographic vì đang ở trình độ trung bình, hay bị vướng.",4,Thiết kế đồ họa,Thiết kế Infographic,Trung bình
Cần người ôn lại và củng cố kiến thức Tiếng Nhật N5 ở mức trung bình.,3,Ngoại ngữ,Tiếng Nhật N5,Trung bình
Cần một buổi học Toán tư duy cho trẻ em dành cho người mới bắt đầu.,12,Gia sư & Học tập,Toán tư duy cho trẻ em,Cơ bản
"Tìm gia sư dạy Chiến lược thương hiệu cấp độ vỡ lòng, học chậm cũng được.",6,Marketing & Kinh doanh,Chiến lược thương hiệu,Cơ bản
"Mình biết Luyện thi vào lớp 10 ở mức cơ bản, muốn lên trình độ trung cấp.",12,Gia sư & Học tập,Luyện thi vào lớp 10,Trung bình
Cần người giỏi Thanh nhạc cho trẻ em hỗ trợ giải quyết vấn đề khó trong công việc.,7,Âm nhạc,Thanh nhạc cho trẻ em,Nâng cao
Cần người review lại các lỗi cơ bản khi làm InDesign.,4,Thiết kế đồ họa,InDesign,Trung bình
Cần người hướng dẫn .NET / C# cơ bản cho người chưa có nền tảng.,1,Lập trình phần mềm,.NET / C#,Cơ bản
"Muốn học thử Kèm bài tập về nhà một buổi xem có hợp không, trình độ mới toanh.",12,Gia sư & Học tập,Kèm bài tập về nhà,Cơ bản
Muốn được đào tạo chuyên sâu Tiếng Anh cho trẻ em để làm freelance/đi làm chính thức.,3,Ngoại ngữ,Tiếng Anh cho trẻ em,Nâng cao
